Nº,Razão Social,Nome Fantasia,CNPJ,CNAE Principal,Endereço,Cidade,Estado,País,Email,Telefone,Situação Cadastral
2212,da Cruz Ltda,- ME Blanditiis,27.135.496/0001-67,4930-2/01 (Transporte de cargas),"Chácara Pereira, 41",da Paz,AC,Brasil,igorda-cunha@barros.br,+55 41 7589 3076,Ativa
2213,Cunha S/A Ltda,S/A Quasi,03.214.897/0001-44,8020-0/01 (Monitoramento de segurança),"Núcleo Lucas Mendes, 91",Viana,ES,Brasil,ocaldeira@moraes.net,0500 859 0917,Ativa
2214,Lopes Ltda,- ME Corrupti,51.806.947/0001-25,4930-2/01 (Transporte de cargas),"Largo Carlos Eduardo Caldeira, 39",Moraes,RR,Brasil,limapedro-miguel@ferreira.org,+55 84 2651 1885,Inativa
2215,Moraes Ltda,- EI Cumque,49.170.623/0001-00,2063-1/00 (Fabricação de cosméticos),"Residencial Igor da Rosa, 2",Lima,MG,Brasil,aramos@cardoso.org,71 8991 6123,Inativa
2216,das Neves Cavalcanti S/A Ltda,S/A Odit,17.409.256/0001-50,4930-2/01 (Transporte de cargas),"Largo Pires, 6",Silva do Campo,PI,Brasil,pietronovaes@da.net,81 1286-8231,Inativa
2217,Ferreira Ltda. Ltda,- EI Numquam,79.680.352/0001-95,6201-5/01 (Desenvolvimento de software),Núcleo Pietro da Paz,Castro,MA,Brasil,anapires@lopes.org,0500 059 6777,Inativa
2218,Pires Ltda. Ltda,S/A Commodi,80.714.362/0001-83,7020-4/00 (Consultoria empresarial),"Estrada Rebeca Caldeira, 18",da Rocha do Galho,BA,Brasil,noahpereira@farias.net,+55 (031) 6594 3904,Ativa
2219,Dias Freitas S/A Ltda,S/A Nisi,19.382.506/0001-30,1091-1/02 (Fabricação de alimentos),"Via da Luz, 60",Correia,SP,Brasil,joaocampos@da.br,(081) 5039 7813,Ativa
2220,Rocha Ltda. Ltda,S/A Culpa,39.470.261/0001-00,6619-3/02 (Serviços financeiros),"Colônia Daniela Carvalho, 15",da Rosa,RO,Brasil,santosjulia@carvalho.br,+55 61 8379 9300,Inativa
2221,Nunes Ltda,Ltda. Magnam,08.243.756/0001-73,7020-4/00 (Consultoria empresarial),"Praia Cunha, 47",Azevedo do Sul,RS,Brasil,catarina97@souza.org,+55 (031) 8650-1003,Inativa
2222,Monteiro da Cunha - ME Ltda,- ME Ducimus,67.814.203/0001-92,8599-6/04 (Treinamento profissional),"Ladeira Heloísa Souza, 47",Novaes,RO,Brasil,caldeirabenjamin@martins.br,(081) 0382-3216,Ativa
2223,Campos Ltda,e Filhos Rem,35.489.761/0001-33,3511-5/00 (Geração de energia solar),"Via de Fogaça, 5",Silveira,ES,Brasil,duarteisabelly@santos.com,+55 31 7181 1462,Ativa
2224,Moura S/A Ltda,- ME Voluptas,09.263.471/0001-67,2063-1/00 (Fabricação de cosméticos),Feira de Silveira,Monteiro de Goiás,ES,Brasil,melissaaraujo@carvalho.com,+55 (071) 9802-0793,Inativa
2225,Pinto Araújo S/A Ltda,S/A Officiis,90.712.648/0001-83,2063-1/00 (Fabricação de cosméticos),"Lagoa de Oliveira, 1",Santos de Costela,RR,Brasil,portopietra@da.com,41 1628 8865,Inativa
2226,Gomes Ltda,e Filhos Sequi,25.083.167/0001-94,6619-3/02 (Serviços financeiros),"Conjunto Duarte, 2",Rodrigues,PA,Brasil,pbarros@da.net,(041) 8153-7246,Ativa
2227,Monteiro Ltda,Ltda. Sint,18.476.350/0001-94,3511-5/00 (Geração de energia solar),"Viela Valentina Santos, 34",Santos de Duarte,AL,Brasil,da-luzana-livia@duarte.com,41 5981 3588,Ativa
2228,Duarte Ltda,- ME Sunt,57.642.913/0001-29,2063-1/00 (Fabricação de cosméticos),"Estrada de Costela, 67",da Cruz,RS,Brasil,gcavalcanti@mendes.com,(081) 9512 6812,Ativa
2229,Ferreira Ltda,Ltda. Consequatur,09.738.416/0001-86,3511-5/00 (Geração de energia solar),Morro de da Cruz,da Luz do Sul,MS,Brasil,maria-sophiada-rosa@barros.net,41 5905-5673,Ativa
2230,Novaes e Filhos Ltda,S.A. Tenetur,79.380.561/0001-13,1091-1/02 (Fabricação de alimentos),"Viaduto Ferreira, 32",Ferreira da Serra,CE,Brasil,natalia59@souza.br,+55 11 6436 6548,Ativa
2231,Mendes Ltda,- EI Porro,84.037.962/0001-05,3511-5/00 (Geração de energia solar),"Feira Alves, 22",Novaes da Prata,SE,Brasil,emanuellacosta@moraes.org,51 3205 5164,Inativa
2232,Gomes - EI Ltda,S.A. Cumque,41.983.725/0001-24,8599-6/04 (Treinamento profissional),"Quadra de Duarte, 57",Lima de Ferreira,ES,Brasil,ana-julia86@silva.com,+55 41 3461-9599,Ativa
2233,Barros Ltda,S/A Voluptates,02.675.194/0001-50,8599-6/04 (Treinamento profissional),"Lagoa Lucca Dias, 31",Alves,RJ,Brasil,davi-luiz17@pires.org,61 8803 8435,Inativa
2234,da Rosa S/A Ltda,- ME Nesciunt,45.691.073/0001-05,7020-4/00 (Consultoria empresarial),"Favela de Duarte, 83",Cardoso,RN,Brasil,ribeiropedro-lucas@viana.br,(031) 4133-7102,Inativa
2235,Moreira Porto - EI Ltda,- ME Magnam,60.547.289/0001-95,8020-0/01 (Monitoramento de segurança),"Estrada de Alves, 89",da Mota,PE,Brasil,maria-fernanda50@moreira.org,41 6596-5566,Ativa
2236,da Mata S.A. Ltda,S/A Corrupti,26.541.873/0001-03,7020-4/00 (Consultoria empresarial),"Recanto Marcos Vinicius Silva, 97",Cardoso,CE,Brasil,brezende@almeida.com,(061) 6564-8359,Inativa
2237,Mendes Correia e Filhos Ltda,S.A. Occaecati,03.591.278/0001-79,8020-0/01 (Monitoramento de segurança),"Ladeira de Cardoso, 277",Ramos do Norte,AM,Brasil,pintomurilo@silveira.br,(031) 5645-2346,Inativa
2238,Rodrigues Alves S/A Ltda,- ME Impedit,95.307.486/0001-11,1091-1/02 (Fabricação de alimentos),"Trecho Araújo, 90",Jesus,SP,Brasil,duartedaniela@das.br,+55 (081) 8301 5398,Inativa
2239,Rodrigues S.A. Ltda,S/A Ipsam,26.485.037/0001-40,8020-0/01 (Monitoramento de segurança),Passarela Emilly Silva,Rocha das Flores,PE,Brasil,gmelo@da.br,0300-609-5573,Ativa
2240,Aragão Sales S.A. Ltda,e Filhos Quisquam,63.278.054/0001-33,6201-5/01 (Desenvolvimento de software),"Vale Ferreira, 52",Fogaça do Norte,AP,Brasil,guilhermealmeida@fogaca.com,0800 029 0161,Inativa
2241,Novaes - EI Ltda,S.A. Asperiores,23.960.815/0001-18,4930-2/01 (Transporte de cargas),"Lagoa Maria Alice Silva, 46",da Luz,RS,Brasil,stella52@costa.com,+55 (021) 4959 4646,Inativa
2242,Cavalcanti Ltda,S/A Quo,60.921.478/0001-86,3511-5/00 (Geração de energia solar),"Aeroporto Augusto Ribeiro, 4",Moraes das Flores,MS,Brasil,ribeiromarina@souza.br,81 9111 5362,Ativa
2243,Ribeiro Ltda,S.A. Hic,97.315.408/0001-94,3511-5/00 (Geração de energia solar),"Morro Sophia Nascimento, 9",Gomes,AL,Brasil,camila62@ferreira.com,+55 (081) 4803 2017,Inativa
2244,Nunes Ltda,Ltda. Illo,35.746.102/0001-35,3511-5/00 (Geração de energia solar),"Rua de Gomes, 572",Cavalcanti de Almeida,AM,Brasil,pedro01@da.br,84 8424-5910,Inativa
2245,Rezende Fernandes S.A. Ltda,S.A. Consequuntur,38.107.562/0001-01,8020-0/01 (Monitoramento de segurança),"Vila Bárbara Rezende, 82",Pinto do Sul,PI,Brasil,ksouza@goncalves.br,+55 (041) 8205 3900,Ativa
2246,Cardoso Ltda,S/A Dolor,35.479.082/0001-83,2063-1/00 (Fabricação de cosméticos),"Conjunto de Azevedo, 73",Rodrigues,MA,Brasil,vieiranatalia@nogueira.br,(081) 8129 7341,Ativa
2247,Rocha Ltda,e Filhos A,24.561.983/0001-01,7020-4/00 (Consultoria empresarial),"Chácara Emanuella Oliveira, 607",Rocha,MS,Brasil,isis70@lima.br,0500 928 5664,Inativa
2248,Viana Ltda,S.A. Omnis,13.275.068/0001-25,2063-1/00 (Fabricação de cosméticos),"Setor Nogueira, 7",Gomes do Oeste,AC,Brasil,gustavocavalcanti@da.com,+55 (021) 6806 9210,Ativa
2249,das Neves Ltda,e Filhos Ex,58.267.914/0001-01,4930-2/01 (Transporte de cargas),"Chácara Ana Beatriz Barbosa, 66",Souza,SP,Brasil,silvaryan@jesus.br,+55 51 1590 3979,Ativa
2250,da Conceição Ltda,e Filhos Quibusdam,01.296.458/0001-00,6619-3/02 (Serviços financeiros),"Campo Melo, 72",Castro de Minas,MA,Brasil,ana-sophiagoncalves@pinto.com,+55 (084) 7432 1777,Inativa
2251,Novaes Ltda,S/A Enim,20.157.346/0001-05,4930-2/01 (Transporte de cargas),"Recanto Mendes, 73",Ramos da Prata,RJ,Brasil,lais94@da.br,84 0803 5342,Ativa
2252,Martins Teixeira e Filhos Ltda,Ltda. Aliquid,01.397.485/0001-61,3511-5/00 (Geração de energia solar),"Trecho de Lima, 62",Cardoso,PI,Brasil,isadorajesus@da.com,0800-881-6022,Inativa
2253,Pires Moura Ltda. Ltda,S.A. Fuga,65.217.439/0001-16,7020-4/00 (Consultoria empresarial),Condomínio Catarina Moraes,Gonçalves de Minas,RS,Brasil,sarah28@da.org,+55 (084) 3674 7970,Ativa
2254,Lima - ME Ltda,e Filhos Modi,80.367.945/0001-85,8599-6/04 (Treinamento profissional),"Campo Benjamin Campos, 6",Costela Alegre,AM,Brasil,peixotoaugusto@pinto.br,(071) 3190-7654,Inativa
2255,Pires Ltda,Ltda. Recusandae,40.357.829/0001-60,7020-4/00 (Consultoria empresarial),"Quadra de Aragão, 29",Azevedo de Minas,CE,Brasil,alana15@da.br,51 0038 3527,Ativa
2256,Pereira S/A Ltda,S/A Quisquam,96.815.742/0001-44,1091-1/02 (Fabricação de alimentos),"Distrito Heitor Farias, 88",Duarte do Oeste,AM,Brasil,carolinemoreira@cardoso.com,(084) 0201 8957,Ativa
2257,Teixeira Ltda,S.A. Repellat,14.983.657/0001-20,8020-0/01 (Monitoramento de segurança),"Avenida de Teixeira, 60",Nascimento,DF,Brasil,felipe21@teixeira.com,+55 (021) 7121 5723,Ativa
2258,Pinto - EI Ltda,- EI Ea,31.407.289/0001-91,6201-5/01 (Desenvolvimento de software),"Esplanada de Gomes, 2",Oliveira de Nogueira,BA,Brasil,antonio91@da.com,+55 81 9990-2723,Ativa
2259,Pinto - EI Ltda,Ltda. Fugit,64.085.217/0001-24,7020-4/00 (Consultoria empresarial),"Aeroporto de Martins, 583",Costela,PB,Brasil,pda-mata@sales.com,(041) 6665 2549,Inativa
2260,Rocha Ltda,- ME Eum,67.528.419/0001-91,8020-0/01 (Monitoramento de segurança),"Viela Ian Farias, 37",Souza do Campo,CE,Brasil,ana-carolina22@cardoso.com,(081) 9607 8851,Inativa
2261,Ramos Ltda,S.A. Sunt,89.031.524/0001-53,3511-5/00 (Geração de energia solar),"Distrito de Aragão, 95",Sales,ES,Brasil,teixeiraleandro@lima.br,51 1429 7878,Ativa
2262,Caldeira Ltda,S/A Excepturi,30.591.764/0001-60,6201-5/01 (Desenvolvimento de software),"Condomínio João Miguel Melo, 55",da Cruz,SC,Brasil,souzaenzo@sales.com,(031) 7101 6735,Inativa
2263,Moreira Ltda,S.A. Deleniti,25.438.170/0001-83,8020-0/01 (Monitoramento de segurança),"Condomínio Fernanda Viana, 45",da Conceição de Caldeira,GO,Brasil,hsales@da.br,+55 (021) 6977 1560,Inativa
2264,Carvalho Ltda,- ME Labore,12.038.549/0001-54,4671-6/00 (Com. atac. insumos agrícolas),"Aeroporto de Aragão, 9",Costela de Minas,PE,Brasil,bianca98@pires.br,(051) 4106-9551,Inativa
2265,Souza Ltda,- EI Aliquid,08.143.692/0001-39,3511-5/00 (Geração de energia solar),"Alameda de das Neves, 402",Silveira,DF,Brasil,davi-lucasmoraes@souza.com,+55 (041) 2871 0430,Inativa
2266,Araújo - EI Ltda,Ltda. Labore,56.329.804/0001-93,8020-0/01 (Monitoramento de segurança),"Rua de Souza, 43",Lopes Verde,SP,Brasil,glopes@cavalcanti.br,(081) 4041-1336,Inativa
2267,Almeida Ltda,S/A Sunt,40.261.839/0001-06,4671-6/00 (Com. atac. insumos agrícolas),"Esplanada Ribeiro, 94",Cardoso da Serra,MA,Brasil,isabella79@teixeira.org,+55 51 5395 1563,Ativa
2268,Cardoso Ltda,- EI Ea,13.859.746/0001-05,6201-5/01 (Desenvolvimento de software),"Largo Ana Vitória Freitas, 24",Correia de Gomes,PR,Brasil,bcarvalho@da.com,0300-991-0687,Inativa
2269,da Mota Melo S/A Ltda,- ME Tenetur,35.098.672/0001-66,4930-2/01 (Transporte de cargas),Quadra da Luz,da Rocha,TO,Brasil,joao-guilherme14@rezende.org,+55 31 0351 8538,Inativa
2270,Almeida Ltda,S/A Commodi,28.519.430/0001-33,1091-1/02 (Fabricação de alimentos),Loteamento Costa,Monteiro de Monteiro,TO,Brasil,luiz-otavioduarte@barros.net,+55 (061) 7816-8375,Ativa
2271,Ramos Ltda,S/A Esse,24.830.715/0001-30,4671-6/00 (Com. atac. insumos agrícolas),"Parque de Sales, 96",da Costa,GO,Brasil,joao-lucas70@vieira.br,61 1150 2770,Inativa
2272,Rodrigues Ltda,Ltda. Repellat,98.425.076/0001-63,4930-2/01 (Transporte de cargas),Parque Bernardo Peixoto,Moreira,MG,Brasil,eda-luz@carvalho.br,+55 11 4975 3283,Ativa
2273,Rezende Ltda,- ME Veritatis,31.670.425/0001-31,8020-0/01 (Monitoramento de segurança),Condomínio de Oliveira,Melo,AC,Brasil,nda-costa@teixeira.com,(084) 2325 7087,Inativa
2274,Nogueira S.A. Ltda,S.A. Commodi,48.295.013/0001-61,6619-3/02 (Serviços financeiros),"Trevo Ana Júlia Barros, 81",Azevedo do Campo,RS,Brasil,dsilva@aragao.br,0300-896-0302,Inativa
2275,Vieira Ltda,e Filhos Provident,20.318.754/0001-00,7020-4/00 (Consultoria empresarial),"Quadra João Guilherme Dias, 90",Viana,SP,Brasil,steixeira@farias.com,0300-715-5834,Ativa
2276,Silva Cardoso e Filhos Ltda,S.A. Ad,86.210.549/0001-26,6201-5/01 (Desenvolvimento de software),"Morro Gonçalves, 31",Almeida de Goiás,BA,Brasil,ribeiroisabelly@ferreira.net,0900 691 1350,Ativa
2277,Lima Duarte e Filhos Ltda,S/A Architecto,17.403.956/0001-37,4930-2/01 (Transporte de cargas),"Ladeira de Alves, 45",Monteiro,AM,Brasil,da-luzjoao-lucas@oliveira.br,+55 11 2588-7524,Inativa
2278,Moraes Ltda,- ME Incidunt,58.142.930/0001-60,6201-5/01 (Desenvolvimento de software),"Via Giovanna da Cunha, 92",Freitas de Goiás,MG,Brasil,rafaela69@martins.br,+55 (061) 9049-9043,Inativa
2279,da Luz - EI Ltda,Ltda. Hic,35.716.208/0001-96,1091-1/02 (Fabricação de alimentos),"Conjunto Cunha, 45",Monteiro de da Paz,RS,Brasil,sophiaramos@carvalho.net,51 4153 3410,Inativa
2280,Ribeiro Ltda,S/A Autem,02.975.438/0001-10,6619-3/02 (Serviços financeiros),"Campo Marcelo da Rocha, 88",Moraes de Lima,MA,Brasil,alicialopes@das.br,(084) 7166 8904,Ativa
2281,Dias - ME Ltda,S/A Minus,07.258.913/0001-51,4671-6/00 (Com. atac. insumos agrícolas),"Ladeira de Rocha, 52",Nogueira,CE,Brasil,nina81@barros.com,(084) 2544 6052,Ativa
2282,Duarte Ltda,Ltda. Iure,73.568.941/0001-08,8599-6/04 (Treinamento profissional),"Viaduto de da Costa, 76",Fernandes,RO,Brasil,melissasilva@da.org,71 5393-1631,Inativa
2283,Dias Ltda,- EI Velit,12.360.945/0001-01,6619-3/02 (Serviços financeiros),"Vale Souza, 31",Azevedo das Flores,PR,Brasil,pauloda-cruz@da.com,71 4562-1221,Inativa
2284,Rodrigues e Filhos Ltda,e Filhos Quasi,08.467.251/0001-92,7020-4/00 (Consultoria empresarial),"Condomínio de da Rocha, 17",Nunes do Galho,SC,Brasil,maitemonteiro@ferreira.net,(011) 0474-9733,Ativa
2285,Correia S.A. Ltda,- ME Nesciunt,25.089.367/0001-54,4671-6/00 (Com. atac. insumos agrícolas),"Viaduto Maria Eduarda Viana, 521",Araújo do Norte,RN,Brasil,maria-eduardafarias@silveira.net,11 8597-0967,Ativa
2286,Azevedo da Cruz S.A. Ltda,- ME Debitis,40.857.362/0001-18,1091-1/02 (Fabricação de alimentos),"Estação Moraes, 817",Rezende de Viana,PR,Brasil,enzoteixeira@barros.org,11 1853-0551,Ativa
2287,Mendes e Filhos Ltda,- EI Quasi,52.470.936/0001-80,4930-2/01 (Transporte de cargas),"Sítio de Moura, 74",da Mata de Martins,BA,Brasil,ypires@da.br,0900-091-2775,Ativa
2288,Castro S/A Ltda,S.A. Quas,58.601.742/0001-52,4930-2/01 (Transporte de cargas),"Passarela Cardoso, 986",Teixeira de Silva,PA,Brasil,luiz-fernandocampos@da.net,51 1608 8216,Ativa
2289,Dias da Cunha e Filhos Ltda,Ltda. Quasi,20.516.937/0001-21,1091-1/02 (Fabricação de alimentos),"Largo Marcelo Fogaça, 3",Cunha,MA,Brasil,viniciusazevedo@araujo.com,+55 (051) 9661 2375,Ativa
2290,Cardoso Viana Ltda. Ltda,- EI Reiciendis,40.278.361/0001-19,4671-6/00 (Com. atac. insumos agrícolas),"Quadra João Guilherme Silva, 47",Vieira,RS,Brasil,dnunes@peixoto.com,(041) 0888 4125,Ativa
2291,Oliveira S.A. Ltda,Ltda. Repellendus,85.372.691/0001-07,3511-5/00 (Geração de energia solar),"Lagoa Pietro Ramos, 38",Cavalcanti de Freitas,SC,Brasil,cavalcantigabrielly@teixeira.br,31 5433 6919,Ativa
2292,Ferreira da Rosa - EI Ltda,Ltda. Laboriosam,63.419.527/0001-75,7020-4/00 (Consultoria empresarial),"Esplanada da Rosa, 1",Rodrigues,SE,Brasil,ana-luizacosta@pinto.com,+55 21 4566-7607,Ativa
2293,Azevedo S/A Ltda,S.A. Id,72.814.963/0001-30,4930-2/01 (Transporte de cargas),"Campo das Neves, 97",Caldeira,RN,Brasil,barrosjoao-vitor@da.br,+55 (061) 0489-4189,Inativa
2294,Fernandes Ltda,S.A. Velit,13.709.845/0001-00,8599-6/04 (Treinamento profissional),"Viaduto Ana Carolina Rezende, 262",da Rosa,ES,Brasil,ybarros@azevedo.com,+55 (041) 0115 1342,Ativa
2295,Pires Ltda,- ME At,41.625.873/0001-77,6201-5/01 (Desenvolvimento de software),"Lago Porto, 34",Cavalcanti,PA,Brasil,francisco27@fogaca.com,81 0478-7848,Inativa
2296,Nascimento Ltda. Ltda,Ltda. Officiis,92.614.503/0001-75,4930-2/01 (Transporte de cargas),"Vila Igor Aragão, 1",Cunha Alegre,PE,Brasil,bpires@rezende.br,+55 51 8600 6036,Ativa
2297,Porto Ltda,Ltda. In,86.917.054/0001-31,6619-3/02 (Serviços financeiros),"Loteamento Matheus Rezende, 77",Melo,CE,Brasil,claricenovaes@dias.br,41 9745-7833,Ativa
2298,Lima Ltda,Ltda. Eaque,17.495.302/0001-80,8020-0/01 (Monitoramento de segurança),"Viaduto Olivia Peixoto, 73",Oliveira da Mata,SE,Brasil,da-rosamaria-alice@barros.com,+55 21 6611 9867,Inativa
2299,Fernandes Alves Ltda. Ltda,- EI Molestias,01.264.378/0001-65,1091-1/02 (Fabricação de alimentos),"Recanto João da Conceição, 32",Carvalho das Pedras,SP,Brasil,maria-claracastro@lopes.br,+55 41 9684 7567,Inativa
2300,Porto Ltda. Ltda,- EI Sit,94.803.156/0001-54,6619-3/02 (Serviços financeiros),"Estrada da Costa, 84",da Cruz do Campo,AM,Brasil,camposcamila@gomes.br,+55 71 7527-8767,Ativa
2301,Lima Ltda,e Filhos Repellat,92.741.506/0001-70,2063-1/00 (Fabricação de cosméticos),"Passarela João Felipe Cunha, 88",Aragão do Galho,SP,Brasil,da-costaisabella@moraes.org,+55 11 6364-4492,Ativa
2302,Silva Ltda. Ltda,S.A. Iusto,09.274.135/0001-10,8020-0/01 (Monitoramento de segurança),"Vereda de Costela, 25",Moura da Praia,RS,Brasil,qsales@pereira.org,+55 41 5610 5981,Ativa
2303,Dias Barros S.A. Ltda,e Filhos Aliquid,04.587.326/0001-18,8020-0/01 (Monitoramento de segurança),"Alameda Ribeiro, 56",Porto da Prata,MG,Brasil,marcelo17@aragao.br,71 8042-5803,Ativa
2304,Santos Ltda,e Filhos Iusto,37.624.098/0001-68,3511-5/00 (Geração de energia solar),"Avenida Luiz Fernando da Mota, 527",da Costa,CE,Brasil,lavinia48@freitas.br,0500-085-4167,Inativa
2305,Caldeira Ltda. Ltda,S/A Nulla,63.794.180/0001-40,4671-6/00 (Com. atac. insumos agrícolas),Travessa de Nascimento,Cardoso das Pedras,RJ,Brasil,fernandada-rosa@araujo.org,+55 (051) 9522-6582,Ativa
2306,Rezende e Filhos Ltda,e Filhos Accusamus,51.398.204/0001-63,4671-6/00 (Com. atac. insumos agrícolas),"Praia de Almeida, 876",Azevedo do Campo,GO,Brasil,leticiaduarte@martins.br,+55 (081) 8557-8771,Inativa
2307,Gonçalves Ltda,e Filhos Deserunt,06.183.759/0001-33,1091-1/02 (Fabricação de alimentos),"Estação de Fernandes, 16",da Cunha,MT,Brasil,kevinaragao@nunes.com,0800-097-1199,Ativa
2308,da Mata - EI Ltda,e Filhos Ab,31.945.827/0001-00,8020-0/01 (Monitoramento de segurança),"Pátio de Lima, 22",Peixoto,RO,Brasil,joana01@farias.com,+55 (041) 9253-8853,Inativa
2309,Sales Ltda,- ME Accusantium,95.213.784/0001-42,4671-6/00 (Com. atac. insumos agrícolas),"Condomínio de Santos, 648",Fernandes de Minas,MS,Brasil,pcampos@santos.com,+55 (011) 0662-1795,Ativa
2310,da Mota Ltda,S.A. Est,72.054.916/0001-35,3511-5/00 (Geração de energia solar),"Pátio de Melo, 89",Teixeira,SC,Brasil,stephany57@nunes.com,+55 (071) 5957-5930,Ativa
2311,da Conceição Porto Ltda. Ltda,S/A Recusandae,28.390.567/0001-30,4671-6/00 (Com. atac. insumos agrícolas),"Alameda Agatha Barros, 36",Moura do Campo,ES,Brasil,vinicius81@cardoso.com,31 0080-7039,Inativa
2312,Nogueira Ltda,e Filhos Deserunt,75.283.149/0001-24,2063-1/00 (Fabricação de cosméticos),"Distrito Bianca Dias, 89",Santos,MG,Brasil,vianajoao-gabriel@cardoso.com,11 9637-4598,Ativa
2313,da Conceição Ltda,- EI Incidunt,86.574.239/0001-90,1091-1/02 (Fabricação de alimentos),"Avenida Caroline Jesus, 355",Barros de Sales,SE,Brasil,murilo56@melo.br,(071) 0940-8362,Ativa
2314,da Mota S.A. Ltda,- ME Sed,97.286.410/0001-82,7020-4/00 (Consultoria empresarial),"Vereda Ferreira, 41",Barbosa,PA,Brasil,nascimentoamanda@correia.com,(084) 0957 9156,Ativa
2315,Melo Ltda,S.A. Deserunt,40.923.758/0001-16,7020-4/00 (Consultoria empresarial),Alameda Vicente Costela,Souza,RS,Brasil,stella32@nascimento.org,+55 31 1443-4118,Ativa
2316,Novaes Ltda,- EI Animi,36.824.951/0001-22,8020-0/01 (Monitoramento de segurança),"Feira Nathan Cardoso, 55",Monteiro do Campo,DF,Brasil,marianesantos@oliveira.com,+55 (084) 5780-2015,Ativa
2317,Monteiro Ferreira S.A. Ltda,S/A Harum,98.402.365/0001-47,2063-1/00 (Fabricação de cosméticos),"Condomínio Pedro Miguel Fernandes, 512",Melo,PE,Brasil,camposmaria-luiza@duarte.com,+55 (061) 7171 1785,Inativa
2318,Campos Ltda,S.A. Perferendis,70.418.923/0001-43,6619-3/02 (Serviços financeiros),"Esplanada Almeida, 48",Peixoto,PA,Brasil,enzo-gabrieljesus@ribeiro.com,+55 (031) 2524-0337,Ativa
2319,Costa S/A Ltda,- EI Debitis,83.106.425/0001-07,4930-2/01 (Transporte de cargas),"Área de Mendes, 11",da Cunha,PR,Brasil,da-rochaana-livia@da.com,+55 84 1050 0777,Ativa
2320,Nogueira Barbosa - ME Ltda,Ltda. Provident,05.924.761/0001-53,8599-6/04 (Treinamento profissional),"Fazenda Moraes, 108",Moraes de Goiás,MT,Brasil,gabrielcardoso@moraes.br,0800-023-1406,Ativa
2321,da Paz Ltda,Ltda. Expedita,78.430.562/0001-62,1091-1/02 (Fabricação de alimentos),"Lagoa Nascimento, 9",Sales das Flores,AM,Brasil,pcostela@nunes.com,+55 11 0009 4052,Ativa
2322,Mendes Ltda,- ME Fuga,45.603.782/0001-91,3511-5/00 (Geração de energia solar),"Viela Alves, 58",Azevedo da Praia,PA,Brasil,thiagopires@da.br,+55 (021) 2506 5495,Ativa
2323,Ferreira Melo S.A. Ltda,- ME Eveniet,53.062.147/0001-72,2063-1/00 (Fabricação de cosméticos),"Aeroporto de Novaes, 42",da Paz do Galho,PA,Brasil,juliavieira@cunha.br,+55 (051) 9361 1385,Inativa
2324,Azevedo S/A Ltda,S/A Animi,36.425.798/0001-60,8599-6/04 (Treinamento profissional),"Sítio Rodrigues, 1",Oliveira,RJ,Brasil,cardosoyasmin@ferreira.br,0500-335-2645,Inativa
2325,Santos S.A. Ltda,S/A Saepe,68.534.209/0001-79,3511-5/00 (Geração de energia solar),"Estrada da Conceição, 348",Melo,BA,Brasil,danilocardoso@vieira.com,(011) 6425 2642,Inativa
2326,Rocha Ltda,- ME Iure,03.458.176/0001-80,8599-6/04 (Treinamento profissional),Pátio de Barbosa,Barros de Costa,MT,Brasil,barrosesther@carvalho.br,+55 11 9624-7979,Inativa
2327,Vieira e Filhos Ltda,Ltda. Rerum,21.640.793/0001-83,7020-4/00 (Consultoria empresarial),"Esplanada Jesus, 1",Nunes Paulista,CE,Brasil,silveirajuan@santos.com,71 5774 7345,Ativa
2328,Freitas Ltda,e Filhos Impedit,29.640.178/0001-89,8020-0/01 (Monitoramento de segurança),Núcleo Kaique Correia,Monteiro,TO,Brasil,maite40@das.br,71 9381 9748,Inativa
2329,Gonçalves Ltda,- EI Maxime,69.013.754/0001-82,1091-1/02 (Fabricação de alimentos),"Praia das Neves, 93",Dias,RO,Brasil,bviana@teixeira.br,31 8801-3397,Inativa
2330,Martins Ltda. Ltda,- ME Esse,72.483.691/0001-32,3511-5/00 (Geração de energia solar),"Sítio Cardoso, 1",Sales,RJ,Brasil,costamarina@araujo.org,21 8164-7287,Inativa
2331,Viana - ME Ltda,e Filhos Enim,41.582.730/0001-25,7020-4/00 (Consultoria empresarial),Largo Bruno Aragão,Silva,AP,Brasil,marcos-viniciusfernandes@azevedo.br,+55 (031) 2548-0380,Ativa
2332,Moraes Ltda,e Filhos Maiores,36.529.174/0001-93,8020-0/01 (Monitoramento de segurança),"Vale da Rosa, 49",da Luz,MS,Brasil,isadorasilveira@dias.org,+55 61 7290 5617,Inativa
2333,Sales - EI Ltda,S.A. Incidunt,09.461.728/0001-95,4671-6/00 (Com. atac. insumos agrícolas),"Alameda de Mendes, 20",das Neves Alegre,SE,Brasil,heitornunes@cunha.br,+55 (031) 2424 0978,Ativa
2334,Carvalho Ltda,S/A Corrupti,49.715.862/0001-90,8020-0/01 (Monitoramento de segurança),"Conjunto de Carvalho, 33",Mendes,MG,Brasil,yasminjesus@da.br,+55 (071) 1458 9648,Inativa
2335,Fogaça Ltda,- EI Blanditiis,51.092.836/0001-02,8020-0/01 (Monitoramento de segurança),"Rodovia de Campos, 10",Jesus,RO,Brasil,bgomes@barros.br,11 0323-8771,Inativa
